q_A1,q_A2,q_A3,q_A4,q_A5,q_A6,q_A7,q_A8,q_A9,q_A10,q_B1,q_B2,q_B3,q_B4,q_B5,q_B6,q_B7,q_B8,q_B9,q_B10,q_B11,q_B12,q_B13,m_age,m_gender,m_accuracy,m_country,m_source
1,4,1,4,3,2,4,2,3,1,5,5,5,5,5,4,2,5,1,3,1,1,1,14,2,75,AU,1
2,2,4,4,2,2,2,4,2,3,1,1,5,4,3,1,4,2,2,5,5,3,2,27,1,95,US,5
1,2,2,2,2,2,2,4,4,4,2,4,4,4,4,2,4,4,2,3,4,2,2,48,1,85,GB,2
4,4,4,2,4,5,4,2,4,4,5,5,5,5,5,5,5,5,2,2,2,1,1,26,1,95,US,1
2,3,4,4,5,5,4,4,2,3,3,1,4,4,3,3,4,4,4,3,3,2,2,49,1,99,CN,1
4,4,5,4,5,4,4,4,2,4,4,5,5,4,5,4,2,4,4,2,4,1,2,22,2,100,CA,6
4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,26,1,100,PK,6
5,5,3,5,5,5,5,3,1,3,5,3,5,5,5,5,3,5,3,1,3,1,1,45,2,88,ZA,1
4,4,3,4,4,3,4,2,2,3,4,5,5,5,4,3,4,4,3,4,3,1,1,22,1,65,FI,1
5,5,5,5,5,5,4,1,1,1,5,4,5,5,5,4,5,1,1,2,2,1,2,19,1,98,GB,1
5,4,2,4,4,3,4,4,2,2,3,3,3,4,4,4,3,3,4,4,3,3,4,19,2,87,US,2
2,3,4,3,3,3,5,3,2,1,4,3,5,5,4,5,4,4,2,2,2,1,1,24,1,70,US,1
3,2,2,2,2,3,2,4,4,3,2,4,4,5,4,3,3,4,2,2,4,2,2,18,1,57,US,1
5,4,5,5,5,5,5,3,1,1,5,3,5,5,4,4,4,5,2,2,2,3,4,29,2,100,US,2
2,3,3,4,2,2,3,4,1,2,3,3,5,5,5,4,5,4,1,2,2,1,1,32,2,72,US,6
4,4,3,4,4,4,4,3,2,3,4,3,4,5,4,4,3,5,2,2,2,2,2,45,2,88,ZA,6
1,2,1,1,1,4,2,5,4,1,2,4,5,5,3,2,4,4,2,4,4,1,2,17,2,95,PH,1
